image_path,text
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-011.jpeg,"[ ३ ]
सामान्यज्ञानविशेषविप्रतिपत्तिप्रदर्शनपूर्वकं जि-
ज्ञास्यत्वस्य समर्थनम् 				८
२. जन्माद्यधिकरणम्-ब्रह्मणो लक्ष्यता . 	       		 ९-१३
मीमांसारम्भे लक्षणाभावाक्षेपपूर्विका सूत्रपातनिका 		९
सूत्रावयवविभजनम्				९
 जन्मनः आदित्वसमर्थनम्				९
’अस्य’ ’यतः' इति पदयोरर्थ विशदय्य वा-
क्यार्थप्रदर्शनम् ... 				१०
स्थितिकालेऽपि संभाव्यमानानां नैरुक्तभावविका-
राणामग्रहणे हेतुं प्रदर्श्य, जन्मादित्रितयसूचनम्
अभिन्ननिमित्तोपादानत्वसूचनाय- इत्यर्थत आ-
वेदनम् ..					१०
मातिप्रसाङ्क्षीत् लक्षणमेतदिति प्रधानपरमाणुसं-
सार्यभावस्वभावानां जगत्कारणत्वविघटनम्. .. 		१०
लक्षणमिव अनुमानमपि स्वतन्त्रं प्रमाणमत्र सूत्र्य-
तामिति शङ्कायाः- वेदान्तवाक्यकुसुमग्रथनार्था-
न्येव सूत्राणि, अनुभवानुमानादीनां परम् अप्र-
माणानामपि पुरुषतन्त्रानुभवानपेक्षधर्मजिज्ञासा-
याम् , भवत्येवेह यथासंभवं प्रामाण्यमनुभवाव-
सानवस्तुतन्त्रब्रह्मजिज्ञासायामिति सुहृद्भावेन उ-
त्तराधिकरणार्थानुवादेन परिहारः ... 			११"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-012.jpeg,"[ ४ ]
लिलक्षयिषितवेदान्तवाक्यतन्निर्णयवाक्ययोरुपन्यासः 		१२
पूर्वसूत्नसंगतिपूर्वकमुत्तरसूत्रावतरणम् 			१३
३. शास्त्रयोनित्वाधिकरणम् …		        	१३-१४
प्रथमवर्णकम्-ब्रह्मणो वेदकर्तृत्वम् . 		        	१३-१४
यस्य निःश्वसितं सर्वज्ञकल्पा वेदाः, तस्य निरति-
शयसर्वज्ञतेति किमु वक्तव्यम्-इति, पूर्वसूत्रो-
पक्षिप्ताया जगत्कारणस्य सर्वज्ञताया दृढीकरणम् 		१३
द्वितीयवर्णकम्-ब्रह्मणः श्रुत्येकसमधिगम्यता . 		१४
जन्मादिसूत्रेण स्वतन्त्रमनुमानं सूत्रितमिति शङ्का-
या व्युदासेन पृथगारम्भसाफल्यस्य समर्थनम् 			१४
४. समन्वयाधिकरणम् … 				१४-३४
प्रथमवर्णकम्- नित्यसिद्धब्रह्मपरा वेदान्ता इति 		१४-१७
भूतं ब्रह्माभिदधतामपुमर्थोपदेशिनां वेदान्ताना-
मानर्थक्यापत्तेः क्रियाविधिशेषत्वं वा उपासना-
परत्वं वा भवेत्- इति शास्त्रप्रमाणकत्वमा-
क्षिप्य उत्सूत्रं पूर्वपक्षप्रदर्शनम् … 			१४
सौत्रपदविभजनम् …. 				१५
क्रियाविधिशेषत्वं निरस्य, उपासनापरत्वं केषां-
चिन्न विरुध्यत इत्युक्त्वा, सर्वक्लेशप्रहाणरूप-
पुमर्थप्रदर्शनपूर्वकं परिनिष्ठिते ब्रह्मणि वेदान्ता-
नां प्रामाण्यस्य प्रतिष्ठापनम् 				 १५"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-013.jpeg,"[ ५ ]
द्वितियवर्णकम्- साक्षादेव ब्रह्म समर्पयन्ति वेदा-
न्ताः इति				१७
अमृतत्वकामस्य ब्रह्मज्ञानं विदधता वेदान्तेन प्र-
तिपत्तिविधिविषयतयैव शास्त्रेण ब्रह्म समर्प्यते
इति वृत्तिकारमतम् -			१७
कर्मब्रह्मविद्याफल्योर्वैलक्षण्यस्य समर्थनम् 		१९
परिणामिनित्यत्वकूटस्थनित्यत्वविवेचनेन ब्रह्मणः
कृटस्थनित्यतासमर्थनम् 			२०
मोक्षस्य नैयोगिकतानिवारकश्रुत्युपन्यासः 		२१
ब्रह्मज्ञानस्य संपदादिरूपत्वविघटनम् 		२२
मोक्षस्य उत्पाद्यत्वविकार्यत्वाप्यत्वसंस्कार्यत्वेषु क-
यापि विधया कार्याननुप्रवेशस्य समर्थनम्		२३
ज्ञानक्रिययोर्वैलक्षण्यप्रदर्शनम्			२६
द्रष्टव्यादिविधिच्छायवचनानां स्वाभाविकप्रवृत्ति
विषयविमुखीकरणार्थत्वोपपादनम्		२७
ब्रह्मात्मावगतौ कृतकृत्यता अलंकार एवेति तस्यां
प्रमाणोपन्यासः				२७
जाग्रत्यनन्यशेषौपनिशदपुरुषपरे
स्तुवादी वेदभागो नास्तीति प्राभाकरवचनं साह-
समात्रमिति प्रकृतदृढीकरणम् 			२९
प्रवृत्तिनिवृत्तिव्यतिरिक्तं भूतवस्तूपदेशं निवृत्त्युपदे-
शं च आलम्ब्य अतदर्थानामानर्थक्यं पुरुषार्था-"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-014.jpeg,"[ ६ ]
नुपयोगिविषयमिति प्रतिपादनम् 		२९
श्रुतब्रह्मणोऽपि यथापूर्वं संसारित्वदर्शनादानर्थ-
क्यशङ्कांयाः परिहारः 			३०
देहादौ आत्माभिमानस्य गौणतां प्राभाकरैरभ्यु-
पगतां निरस्य तस्य मिथ्यात्वसमर्थनम्		३२
आशङ्कितस्य मननादिविधानानर्थक्यस्य परिहारः
--श्रुतमात्रस्य मननम् , नावगतस्येति		३३
ब्रह्मणो धर्मानन्तर्भावे पृथक् शास्त्रारम्भस्य प्रमा-
णत्वेनोपन्यासः				३३
धर्मब्रह्मणोर्विरोधं संसूच्य प्रकृतानुकूलब्रह्मविद्गाथा-
भिर्निगमनम्				 ३४
५. ईक्षत्यधिकरणम् 			३४-४९
ब्रह्मणि समन्वयमेतावता समधिगतं ब्रह्मण्यसाधा-
रणं व्युत्पादयितुमुत्तरारम्भ इति वादिविवादद-
र्शनपूर्वकं भूमिकारचनम् .			 ३४
प्रधानमेव जगत्कारणमिति सांख्यानां पूर्वपक्षः		 ३५
जगदुपादानवादिवेदान्तानां प्रधानपरतेति सांख्य-
पूर्वपक्षं श्रुत्या निरस्यतः सिद्धान्तसूत्रस्य विभज-
नम्				 ३६
सांख्यीयप्रधानसार्वज्यप्रक्रियाविघटनम् 		३७
पुर्वपक्षबीजानुभाषणपूर्वकं ब्रह्मणः मुख्यसर्वज्ञत्व-
समर्थनम्				३८"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-015.jpeg,"[ ७ ]
ईश्वरस्य ज्ञानानुगुणहेत्वपेक्षानिरासः 		३९
संसारिणो देहाद्यपेक्षेक्षितृत्वाभ्युपगमे अपसिद्धान्ता-
शङ्काया निरासः			३९
उपचारप्राये वचनादचेतनेऽपि प्रधाने भाक्तमीक्षि-
तृत्वमिति प्राप्ते उत्तरसूत्रावतरणम्		४०
प्रधाने गौणतायाम् ईक्षतिशब्दस्य, ’ अनेन जीवे-
नात्मना’ इति आत्मशब्देन जीवपरामर्शायोगात्
अनाञ्जस्यप्रतिपादनम्			४१
आत्मशब्दादित्यस्य व्याख्यानान्तरम्		४२
आत्मशब्दस्य गौणवृत्त्या नानार्थकतया वा प्रधाने-
ऽपि संभव इति शङ्कायाम् , प्रकृतं सदणिमान-
मादाय मोक्षयितव्यस्य तन्निष्ठतामुपदिश्य मोक्ष-
मुपदिशत् शास्त्रं श्रद्दधतः अन्धगोलाङ्गूलन्याया-
पत्ष्या, संपत्पक्षे च मोक्षोपदेशानुपपत्त्या न प्रधा-
नमात्मशब्दालम्बनम् इति परिहारः		 ४२
शङ्कोत्तरत्वेन तन्निष्ठस्येति सूत्रव्याख्याने अरूच्या
स्वतन्त्रहेतुपरतया व्याख्यानम्			४५
स्थूलारुन्धतीन्यायेन पुनः शङ्कायां हेयत्वावचनात्
सर्वविज्ञानप्रतिज्ञोपरोधाच्च परिहारः		४५
जगत्कारणं प्रकृत्य श्रौतस्वपितिनिर्वचनाच्च चेत-
नस्यैव जगत्कारणत्वसमर्थनम्			४६"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-016.jpeg,"[ ८ ]
महच्च प्रामाण्यकारणमेतत् , यद्वेदान्तानां चेतन-
कारणत्वे समानगतित्वमिति सर्वज्ञस्यैव जग-
त्कारणत्बसमर्थनम् 			४८
’ स कारणम् ’ इत्यादिश्रुतौ स्वशब्देनैव श्रुतत्वाच्च
ब्रह्मेव कारणमिति निगमनम् 			४८
सोपाधिकत्वनिरुपाधिकत्वाभ्यां द्विरूपतया अवग-
म्यमानस्य ब्रह्मणः उपास्यतया ज्ञेयतया च वेदा-
न्तेषूपदेश इति प्रदर्शनार्थलया उत्तरग्रन्थस्यो-
त्थानसमर्थनम्				४९
६. आनन्दमयाधिकरणम् 			५१--६३
वृत्तिकारमतेन अधिकरणारचनम् 		५१-५८
आनन्दभयो ब्रह्म वा, अमुख्य आत्मा वेति संशये,
अमुख्य आत्मा आनन्दमयः, तत्प्रवाहपति-
तत्वात्, प्रियाद्यवयवयोगात् , शारीरत्वश्रवणा-
च्चेति पूर्वपक्षः 				 ५१
परस्मिन् आनन्दशब्दाभ्यासेन सिद्धान्तः		 ५२
अमुख्यप्रवाहपतितत्वप्रियसंस्पर्शशारीरत्वश्रवणरू-
पाणां पूर्वपक्षबीजानां निरसनम्		 ५३
मयटो विकारार्थत्वमवलम्ब्याक्षेपस्य प्राचुर्यार्थक-
त्वप्रदर्शनेन निरासः 			 ५३
आनन्दहेतुत्वव्यपदेशाच्च प्राचुर्यसमर्थनम् 		  ५४"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-017.jpeg,"[ ९ ]
मन्त्रब्राह्मणयोश्चैकार्थत्वात् पर एव आनन्दमय
इति प्रतिपादनम्                     		५५
प्राक् शरीराद्युत्पत्तेरभिध्यानाद्यनुपपत्तेरितरनिषेधः 	 ५५
जीवानन्दमययोः लब्धृलब्धव्यतया भेदेन व्यप--
देशाच्च इतरनिषेधः			 ५६
गतिसामान्यप्रपञ्चनाय कामयितृत्वनिर्देशात् प्र-
धाननिषेधः 				  ५७
प्रबोधवतो जीवस्य मुक्तिशासनाच्च इतरनिषेधः 	  ५७
पुच्छब्रह्मवादमालम्ब्य वृत्तिकारमतदूषणम्		   ५८
स्वाभिमतपुच्छब्रह्मवादानुरोधेन सूत्राक्षरयोजनम् 	    ६२
७. अन्तरधिकरणम् 			   ६३-६७
’ अथ य एषोऽन्तरादित्ये ’ अथ य एषोऽन्त-
रक्षिणि’ इति छान्दोग्यश्रुतौ किं विद्याकर्माति-
शयवशात्प्राप्तोत्कर्षः कश्चित्संसारो उपास्यत्वेन
विवक्षितः, उत नित्यसिद्धः परमेश्वरः इति
संशये, रूपवत्त्वाधारैश्वर्यमर्यादारूपाणां बहूनाम-
नैश्वरधर्माणां श्रवणात् न अक्ष्यादित्ययोरन्तः
परमेश्वरः- इति पूर्वपक्षवर्णनम् 		  ६४
अपहतपाप्मत्वसर्वात्मकत्वनिरङ्कुशलोककामेशि-
तृत्वादिकं श्रूयमाणं परमेश्वरमेव गमयतीति सि-
द्धान्तः 				  ६५"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-018.jpeg,"[ १० ]
रूपवत्त्वोपदेशस्य साधकानुग्रहार्थता 		६६
आधारैश्वर्यमर्यीदाश्रवणस्योपासनार्थता		६६
आदित्याद्यभिमानिभ्योऽन्यस्यान्तर्यामिण उपदे-
शाच्च परमेश्वरस्यैवोपास्यत्वम् 			६७
८. आकाशाधिकरणम् 			६७-७०
'अस्य लोकस्य ’ इत्यादि छन्दोगवाक्ये आका-
शशब्दः ब्रह्मपरः, भूताकाशपरो वेति संदेहे,
प्रसिद्धयादिभिहतुभिः भूताकाशस्यैव ग्रहणमिति
पूर्वपक्षः				 ६८
साकाशप्रपंञ्चकारणत्वस्य सावधारणं श्रवणात् अ-
न्येभ्यश्च ब्रह्मलिङ्गैभ्यः ब्रह्मण एव ग्रहणमिति
सिद्धान्तः 				 ६९
प्रसिद्ध्या प्रथमप्रतीतस्यापि भूताकाशस्य वाक्य-
शेषबलादपनय इति पूर्वपक्षहेतुनिरसनम्		  ७०
९. प्राणाधिकरणम्			७o-७३
आकाशन्यायस्य उत्तरवाक्ये अतिदेशेन, प्राण-
स्यापि न ब्रह्मत्वमिति पूर्वपक्षः 		७१
प्राणनिमित्तौ सर्वेषामुत्पत्तिप्रलयाबुच्यमानौ ब्रह्म-
लिङ्गमिति निर्णयः			७२
पूर्वपक्षयुक्तिनिरासः 			७२
वृत्तिकाराभिप्रेतस्य ’ प्राणबन्धनं हि सोम्य मनः’"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-019.jpeg,"[ ११ ]
इत्यादिवाक्योदाहरणस्य संशयाविषयत्वादनु-
दाहरणत्वप्रतिपादनम् 			७३
१०. ज्योतिश्चरणाधिकरणम् 		७३-८२
अथ यदतः परः. इत्यादि छान्दोग्यवाक्ये
आदित्यादि ज्योतिः परमात्मा वेति सांशयिको-
ऽर्थः 				७४
प्रसिद्धेः, दीप्तिश्रुतेः, द्युमर्यादत्बश्रुतेः, आधारबहु-
त्वश्रुतेः, कौैये परस्य व्वोतिषौऽ्यासात , अ-
ल्पफलश्रवणाच्च प्राकृतस्यैव ज्योतिषो ग्रहणमिति
पूर्वपक्षः				 ७४
ज्योतिषो ब्रह्मणो ग्रहणम्, पादाभिधानात् ब्रह्मपर-
वाक्यसंदष्टत्वाच्च- इति सिद्धान्तः 		७६
प्रसिद्ध्यादिपूर्वपक्षहेतूनां निरसनम् 		७६
गायत्र्याख्यच्छन्दस एवाभिधानात् पूर्वस्मिन् वाक्ये
ब्रह्मणो न प्रकृतत्बमित्याक्षेपस्य, छन्दोद्वारेण त-
द्रते ब्रह्मणि चित्तसमाधानस्यान्यत्र दृष्टस्याभिधा-
नात् ब्रह्मण एव प्रकृतत्वमिति परिहारः- इति
गायत्रीशब्दस्य मुख्यार्थत्वे गायत्र्या ब्रह्मोपल-
क्ष्यत इत्येकदेशिमतम् 			७९
गायत्रीशब्दः संख्यासामान्यात् गौण्या वृत्त्या ब्रह्म-
ण्येव वर्तत इति विधान्तरम् 			८०"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-020.jpeg,"[ १२ ]
भूतादीनां पादानां व्यपदिश्यमानानां छन्दस्यनुप-
प्राणधर्मेण प्रज्ञारमेण स्वधर्मेण च ब्रह्मण एव
पत्तेरपि ब्रह्मणः प्रकृतत्वम्			 ८०
आधारमर्यादयोर्लक्षणया व्याख्यानेन प्रत्यभि-
ज्ञासमेर्थनम्				 ८१
११. प्रातर्दनाधिकरणम् 			८२-९१
कौषीतकिब्राह्मणगताया इन्द्रप्रतर्दनाख्यायिकाया
विषयस्य प्रदर्शनम् 			 ८२
प्राणशब्देन वायुमात्रम् , देवता, जीवः, ब्रह्म वा
अभिधीयते इति सांशयिककोटिचतुष्टयम्		 ८२
मुख्यप्राणपक्षमनूद्य सूत्रमादाय प्राणो ब्रह्मेति प्रति-
ज्ञायाः, ब्रह्मप्रतिपादनपरत्वेनैव पदानां समन्व-
यदृष्टरिति हेतोश्च विभागः			 ८३
देवतापश्नस्य उत्थापनम् , तन्निरासश्च 		८४
अहंकारवादस्य देवतालिङ्गस्य, शास्त्रदृष्टयोपदेश
इति गतिप्रदर्शनम्			 ८६
जीवमुख्यप्राणलिङ्गेर्ब्रह्मपरत्वाक्षेपः		 ८७
त्रिविधोपासनप्रसक्तावर्थैकत्वभङ्गात्, ब्रह्मलिङ्ग-
वशात् प्राणशब्दस्य ब्रह्मणि वृत्तेरन्यत्राश्रिताया
इहापि संभवात् परिहारः 			८८
जीवमुख्यप्राणलिङ्गानां ब्रह्मण्यनायासेन संगमनम् 	८९
प्राणधर्मेण प्रज्ञाधर्मेण स्वधर्मेण च ब्रह्मण एव"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-021.jpeg,"[ १३ ]
एकमुपासनं त्रिविधमिह विवक्षितमिति वृत्तिका-
रभतेन सूत्नस्य व्याख्यानम् 			९०
द्वितीयः पादः-अस्पष्टब्रह्मलिङ्गवाक्यानामुपास्य-
त्वेन ब्रह्मणि समन्वयः 			९३-१४१
१. सर्वत्र प्रसिद्धयधिकरणम् । 		९५-१०४
पूर्वोपजीवनेन उत्तरोत्थाननिरूपणम्
मर्वे ग्वत्विदमिति छान्दोग्यवाक्ये शारीरो ब्रह्म
ब्रा उपास्यत्वेनोपदिश्यते इति संशयः		९५
शारीर इति पूर्वपक्षः			९६
पूर्वपक्षे ’ सर्वं खल्बिदं ब्रह्म’ इति वाक्यस्य श-
मविधिपरत्वसमर्थनम् 			९६
ज्यायस्त्वब्रह्मसंकीर्तनयोर्जीवै योजनम्		९७
लघुमप्यफलं रात्रिसत्रन्यायमुपेक्ष्य गुरुमपि सफ-
लं च्विश्वजिन्न्यायमाश्रित्य परमेव ब्रह्मोपास्य-
मिति सिद्धान्तः			९७
श्रुत्युपात्तसत्यसंकल्पत्वादीनां ब्रह्मण्येवोपपत्तेः त-
स्यैव उपास्यता				९८
मनोमयत्वादिजीवलिङ्गानां ब्रह्मण्युपपादनम् 	९९
मनोमयत्वादीनां यथा ब्रह्मण्याञ्जस्यम्, तथा न
जीवे सत्यसंकल्पत्वादीनामिति प्रतिपादनम्		 ९९
कर्मकर्तृव्यपदेशशब्दभेदस्मृतिभ्यः शारीरप्रतिषेधः 	१००"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-022.jpeg,"[ १४ ]
तात्त्विक एव भेदो५त्र सूत्रित इति भ्रमनिरासेन
अद्वेताविरोधसमर्थनम् 			१०१
अर्भकौकस्त्वाणीतस्त्वयोर्जीवलिङ्गयोर्निचाय्यत्वपि-
क्षतया अविरोधसमर्थनम् 			१०२
ब्रह्मणोऽनिष्टसंभोगप्राप्तिशङ्कायाः, मिथ्याज्ञानक-
ल्पितोपभोगेन सम्यग्ज्ञानदृष्टवस्तुनोसंस्पर्शमुप-
पाद्य निराकरणम्			१०३
२. अत्रधिकरणम्			 १०५-१०६
’ यस्य ब्रह्म च ? इत्यादिकाठकवाक्ये ओदनो-
पसेचनसूचितः अत्ता किमग्निः, उत जीवः,
अथवा परमात्मेति संशयः			१०५
अग्निः जीवो वा इति पक्षौ			१०५
उपलक्षितप्राणिनिकायमात्नात्तृत्वं परमात्मानमेव ग-
मयाति इति सिद्धान्तः			१०५
कर्मफलमभुञ्जानेऽपि परमात्मनि संहर्तृत्वसंभवस्य
समर्थनम् 				१०५
प्रकरणलिङ्गाभ्यां च परमात्मनोऽत्तृत्वसाधनम् 	१०६
३. गुहाप्रविष्टाधिकरणम्			१०६-११२
कठवल्ल्यामेव ’ त्रतं पिबन्तौ इत्यादिवाक्ये
किं बुद्धिजीवौ निर्दिष्ठौ, उत जीवपरमात्मानौ
इति पक्षद्वयमुत्थाप्य फलमेदनिरूपणम् 		१०६"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-023.jpeg,"[ १५ ]
उभयोर्भोक्तृत्वायोगेन संशयस्याक्षेपः		१०७
छत्रिन्यायेन वा, ` यः कारयति स करोत्येव’
इति न्यायेन वा, करणे स्वातन्त्र्यविवक्षया वा
समाधानम् 				१०७
बुद्धिक्षेत्रज्ञाविति पक्षस्य समर्थनम्		१०८
संख्याश्रवणे समानस्वभावेष्वेव लोके प्रतीतेः वि-
ज्ञानात्मपरमात्मनोरेव ग्रहणमिति सिद्धान्तः		१०८
गन्तृगन्तव्यत्वमन्तृमन्तव्यत्वविशेषणश्रबणस्य प्रक-
रणस्य्र च सिद्धान्तहेतुतया उपन्यासः		१०९
कृत्वाचिन्तया ’ द्वा सुपर्णा’ इत्यादौ अस्य न्याय-
स्यातिदेशः 				११०
पौङ्गिरहस्यब्राह्मणमबलम्ब्य, ’ द्वा सुपर्णा ? इत्यस्या
ऋचः, सत्त्वक्षेत्र्ञयोरितरेतरस्वभावाविवेकरकृत-
स्य कर्तृत्वस्य भोक्तृत्वस्य च काल्पनिकतया
चेतनस्य क्षेत्रज्ञस्य ब्रह्मस्वभावताबोधने पर्यवसा-
नस्य निरूपणेन कृत्वाचिन्तोद्धाटनम् 		११०
४. अन्तराधिकरणम् 			११२-११८
य एषोऽक्षिणि इत्यादिवाक्ये किं प्रतिबिम्बात्मा
निर्दिभ्यते, अथ विज्ञानात्मा, उत देवतात्मे-
न्द्रियस्याधिष्ठाता, अथवेश्वर इति संशयः 		११२
आद्यपक्षत्रयस्योपपादनम्			११२"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-024.jpeg,"[ १६ ]
आत्मत्वामृतत्वाभयत्वापहतपाप्मत्वसंयद्वामत्वादी-
नां गुणानां श्रूयमाणानां परमेश्वर एवोपपत्तेः
अन्तरः परमेश्वर इति सिद्धान्तः		११३
स्थानादिव्यपदेशस्य उपलब्ध्यर्थतया अविरोधस-
मर्थनम् 				११३
’ प्राणो ब्रह्म कं ब्रह्म खं ब्रह्म’ इति प्रक्रान्तस्य
सुखविशिष्टस्य ब्रह्मण एवात्रापि ग्रहणं न्याय्यमिति
समर्थयितुं सप्रपञ्चमुपकोसलोपाख्यानव्याख्यानम्	११४
ब्रह्मविद्विषयया प्रसिद्धया गत्या अक्षिस्थानस्य
ब्रह्मत्वनिर्णयः				११६
छायात्मविज्ञानात्मदेवतात्मनां चक्षुपषि नित्यभव-
स्थानासंभवात् अमृतत्वादिगुणानां तेष्वसंभवा-
च्च निषेधः 				११७
५. अन्तर्याम्यधिकरणम्			११८-१२३
अन्तर्यामिब्राह्मणे अधिदैवाद्यभिमानी देवतात्मा
कश्चित् , किं वा प्राप्ताणिभाद्यैश्वर्यः कश्चिद्योगी,
किं वा परमात्मा, किं वा अर्थान्तरं किंचित्
इति संशये परमात्मपक्षं विहाय इतरेषां पक्षा-
णां समर्थनम् 				११८
सर्वविकारकारणं सर्वशक्तिः परमात्मैवान्तर्यामी-
ति सिद्धान्तः 				 ११९."
